지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr)
99,파주,2020-02,.6,16.4,-15.8,54.3,176.4
99,파주,2020-03,5.7,21.6,-7,12.1,262.3
99,파주,2020-04,9.3,23,-3.8,17.5,290
99,파주,2020-05,16.4,28.5,5.9,131.8,190.4
99,파주,2020-06,22,34.4,12.4,131.4,227.6
99,파주,2020-07,22.7,30.7,16.2,231.2,162.3
99,파주,2020-08,25.2,34.2,20,682.6,108.1
99,파주,2020-09,19.3,30.5,9.1,195.7,198.8
99,파주,2020-10,11.2,24.2,-2.3,3.5,233.1
99,파주,2020-11,5.4,19.8,-8.9,64.2,171.9
99,파주,2020-12,-3.3,10.6,-17.4,5.7,203.3
99,파주,2021-01,-5.1,13.4,-21.7,12.9,192.8
99,파주,2021-02,.5,16.8,-13.7,10,197.1
99,파주,2021-03,6.7,22,-4.7,112.4,242.6
99,파주,2021-04,12.2,26.7,-.5,106.4,234.8
99,파주,2021-05,15.5,29.4,4,243,212.8
99,파주,2021-06,21.1,30.2,11.5,50.4,198.9
99,파주,2021-07,26.1,35.1,19.1,93.6,256.6
99,파주,2021-08,24.1,33,16.8,183.3,180.1
99,파주,2021-09,20.6,29.5,13,93.5,209.4
100,대관령,2014-01,-4.8,6.1,-18.9,35.8,187.6
100,대관령,2014-02,-4.7,10.7,-19.4,97.3,140.5
100,대관령,2014-03,2.1,19.7,-18.4,45,217.9
100,대관령,2014-04,8.1,22.5,-7.9,142.7,215.9
100,대관령,2014-05,14.5,30,.5,28.3,301.7
100,대관령,2014-06,16.1,30.6,9,88.6,119.5
100,대관령,2014-07,20.5,30.2,9.3,146.8,225
100,대관령,2014-08,18.8,30.3,7.2,350.7,116.6
100,대관령,2014-09,15.1,27.1,4.1,139,201.4
100,대관령,2014-10,9.2,21.6,-4,182.3,225.1
100,대관령,2014-11,3.7,14.7,-8.6,41.4,195.6
100,대관령,2014-12,-6.7,6.2,-19.8,11.7,235.5
100,대관령,2015-01,-5.2,7,-19.8,21.4,191.3
100,대관령,2015-02,-3.5,7.2,-18,19.9,197.6
100,대관령,2015-03,2,18.8,-14.6,21.5,296
100,대관령,2015-04,7.6,23.3,-3,62.7,226
100,대관령,2015-05,14.7,29.1,0,13,329.3
100,대관령,2015-06,16.1,28.1,2.7,88.2,219.9
