,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
285,6,10,75,6,36,661.02,16,7,9521,5981,569472,21,1323.02,4399.08
286,0,3,13,2,26,973.57,20,3,2365,8098,191509,23,4192.700000000002,1.76
287,4,9,34,1,35,553.29,18,10,5471,6601,361120,15,3537.007,4.4
288,2,10,30,6,36,495.58,19,8,8467,6873,581958,21,1317.91,6311.0
289,1,13,41,1,37,1100.0,20,1,2825,8783,248082,30,2686.0110000000004,3.76
290,4,6,26,6,36,752.13,21,4,6775,8547,579042,21,3842.014,41.540000000000006
291,7,15,18,6,14,1620.0,21,1,6775,8547,579042,8,7944.320000000002,14.0
292,8,5,23,1,0,573.8,18,5,5471,6601,361120,1,4752.003,34.90000000000001
293,8,5,23,1,37,508.48,21,6,4023,8423,338877,30,1815.108,3198.0
294,4,1,6,6,14,521.4,21,5,6775,8547,579042,8,1517.1129999999994,4.9
295,4,16,46,6,14,472.05,19,10,8467,6873,581958,8,1702.412,5975.833000000001
296,4,21,35,6,14,994.85,20,9,5743,7883,452737,8,3378.003,2.2
297,4,9,34,2,29,1119.96,20,12,2365,8098,191509,25,6157.801,1.79
298,4,5,23,1,37,631.84,20,8,2825,8783,248082,30,3704.711000000001,607.006
299,4,24,62,1,35,226.97,20,3,2825,8783,248082,15,4192.700000000002,1.76
300,8,5,23,1,34,641.3,16,5,4749,7434,353063,14,943.504,833.01
301,6,10,30,6,36,730.69,19,5,8467,6873,581958,21,2304.702,912.246
302,0,15,44,9,19,895.29,17,4,785,5243,41141,17,10110.03,4.3
303,6,5,79,1,33,291.55,19,10,4330,8170,353752,10,1702.412,5975.833000000001
304,0,3,13,9,11,140.0,20,7,693,6620,45885,13,2150.1100000000006,3491.0
305,4,6,26,6,38,369.62,20,6,5743,7883,452737,31,1832.019,1423.4429999999998
306,4,4,9,2,29,509.64,20,7,2365,8098,191509,25,2150.1100000000006,3491.0
307,4,5,79,2,7,472.0,18,6,3369,6296,212066,5,4233.002,155.28600000000003
308,6,5,79,4,12,204.35,19,7,311,8426,26244,7,2498.442,20950.006
309,0,10,60,7,27,1063.7,17,12,1632,6225,101600,27,14090.754,7.1
310,5,18,76,2,29,567.87,19,8,3309,7471,247231,25,1317.91,6311.0
311,0,3,7,6,36,468.7,18,6,11327,4932,558659,21,4233.002,155.28600000000003
312,4,6,25,9,11,482.5,21,6,924,7046,65074,13,1815.108,3198.0
313,6,22,56,7,27,293.36,19,7,2373,7957,188857,27,2498.442,20950.006
314,4,20,24,9,19,200.0,18,10,1233,5570,68687,17,3537.007,4.4
315,5,14,43,2,15,510.0,18,10,3369,6296,212066,9,3537.007,4.4
316,4,21,3,2,15,775.66,19,2,3309,7471,247231,9,3132.005,165.31
317,1,27,65,7,27,566.08,20,10,1142,7896,90175,27,5213.902,7.88
318,0,3,7,0,6,1302.47,16,1,217,6046,13120,18,24407.001,1.0
319,0,10,60,6,14,468.47,19,1,8467,6873,581958,8,5570.91,821.0
320,2,3,55,6,14,1819.32,21,2,6775,8547,579042,8,11292.08,0.14
321,0,11,1,6,14,540.42,18,3,11327,4932,558659,8,10063.706,29.2
